id,name,rate,earnings
36061,New York,0,251385039
6037,Los Angeles,1150,249898187
17031,Cook,190,169775997
48201,Harris,1352,133186496
48113,Dallas,585,102414571
6085,Santa Clara,839,89238959
6059,Orange,243,85901928
53033,King,1079,77086686
4013,Maricopa,1306,75852537
6073,San Diego,5702,75751341
25017,Middlesex,419,60363194
27053,Hennepin,580,54286708
13121,Fulton,206,52655322
6075,San Francisco,2,51417694
26163,Wayne,235,51408699
26125,Oakland,412,49531861
12086,Miami-Dade,1261,49452837
25025,Suffolk,1,48405793
6001,Alameda,400,45158382
51059,Fairfax,113,43735839
39035,Cuyahoga,88,42188220
42003,Allegheny,295,40643218
9001,Fairfield,182,40503867
48439,Tarrant,867,38556607
42101,Philadelphia,4,37627817
36059,Nassau,29,35965044
39049,Franklin,396,35306077
17043,DuPage,61,35284872
29189,St. Louis,221,34422606
48029,Bexar,1666,33645798
32003,Clark,183,33536151
6081,San Mateo,206,32703447
34003,Bergen,83,32541306
12011,Broward,237,32294900
6067,Sacramento,1158,31849187
9003,Hartford,469,31680530
36103,Suffolk,350,31655850
18097,Marion,217,31474475
48453,Travis,889,31473020
8031,Denver,12,31056473
24031,Montgomery,454,31031274
42091,Montgomery,382,30905370
37119,Mecklenburg,237,29884024
36119,Westchester,57,29331707
39061,Hamilton,242,29224004
12057,Hillsborough,2163,27698879
12095,Orange,654,27244576
47157,Shelby,515,27044028
12099,Palm Beach,452,26898480
34023,Middlesex,185,26328495
6071,San Bernardino,1290,26132758
55079,Milwaukee,77,25950906
36081,Queens,0,25569214
49035,Salt Lake,571,24836921
34013,Essex,14,24446796
41051,Multnomah,501,24277376
6013,Contra Costa,565,23425802
47037,Davidson,400,22850246
12031,Duval,319,22366267
6065,Riverside,2655,22267913
34027,Morris,318,21839560
21111,Jefferson,473,21306937
15003,Honolulu,687,21219722
17097,Lake,274,21144353
36047,Kings,1,20816098
24510,Baltimore city,0,20789803
36029,Erie,864,20551806
25021,Norfolk,136,20481275
29095,Jackson,659,20434423
9009,New Haven,296,20381287
1073,Jefferson,345,20315722
12103,Pinellas,83,19894217
36055,Monroe,396,19870145
8005,Arapahoe,214,19578147
40109,Oklahoma,745,19569366
37183,Wake,686,19517382
13089,DeKalb,43,18619856
26099,Macomb,445,18504600
40143,Tulsa,687,18424215
24005,Baltimore,659,18274069
27123,Ramsey,25,17811770
13067,Cobb,120,17616910
24033,Prince George's,477,16779901
26081,Kent,995,16737075
10003,New Castle,265,16734058
6111,Ventura,1530,16613405
25009,Essex,271,16590430
25027,Worcester,849,16493513
13135,Gwinnett,316,15900979
31055,Douglas,305,15839063
34017,Hudson,0,15807048
34039,Union,9,15579062
20091,Johnson,530,15535766
34025,Monmouth,667,14531826
39113,Montgomery,728,14401604
4019,Pima,330,14326055
42029,Chester,1057,14115694
35001,Bernalillo,441,14084066
44007,Providence,194,14038303
34035,Somerset,352,14014349
29510,St. Louis city,0,13775274
6019,Fresno,5294,13572933
51013,Arlington,2,13572015
22071,Orleans,11,13489732
55025,Dane,2144,13144232
24003,Anne Arundel,415,13086273
8041,El Paso,631,12919140
41067,Washington,1424,12833001
42017,Bucks,547,12828381
34021,Mercer,234,12618887
19153,Polk,681,12428866
42045,Delaware,48,12421081
37081,Guilford,847,12413009
53053,Pierce,958,12361792
20173,Sedgwick,1224,12161668
36001,Albany,336,12082836
39153,Summit,217,12011238
36067,Onondaga,507,11642852
8059,Jefferson,339,11551056
5119,Pulaski,327,11458571
55133,Waukesha,567,11289720
53061,Snohomish,1105,11181348
6029,Kern,1243,11162944
8013,Boulder,622,11138840
48085,Collin,1110,10921005
36005,Bronx,0,10891063
39095,Lucas,350,10754417
33011,Hillsborough,282,10722898
26161,Washtenaw,905,10671621
48141,El Paso,358,10661227
6097,Sonoma,2181,10646589
34005,Burlington,672,10629239
37063,Durham,128,10572249
45045,Greenville,634,10481256
34007,Camden,152,10468335
51710,Norfolk,0,10051871
42071,Lancaster,4009,9986702
22033,East Baton Rouge,457,9890715
34031,Passaic,41,9661650
25005,Bristol,426,9658052
47093,Knox,1041,9603234
32031,Washoe,250,9472476
45079,Richland,292,9440440
25013,Hampden,350,9250111
22051,Jefferson,49,9218123
6083,Santa Barbara,1160,9215346
6077,San Joaquin,3181,9212277
16001,Ada,1038,9140819
51760,Richmond,0,9119528
6053,Monterey,786,9048429
17089,Kane,554,8978817
18089,Lake,394,8802715
12009,Brevard,383,8675720
42077,Lehigh,365,8622922
25023,Plymouth,471,8577434
47065,Hamilton,515,8573325
18003,Allen,1223,8511337
45019,Charleston,179,8471740
37067,Forsyth,581,8467979
51087,Henrico,121,8467808
53063,Spokane,1503,8465370
26065,Ingham,701,8257091
42043,Dauphin,511,8252606
2020,Anchorage,182,8229950
1089,Madison,776,8154633
26049,Genesee,704,8074209
6041,Marin,180,8003603
51810,Virginia Beach,124,7907566
23005,Cumberland,369,7891701
12105,Polk,1600,7761339
21067,Fayette,578,7744302
12071,Lee,388,7675729
42011,Berks,1358,7630045
24027,Howard,312,7622929
51107,Loudoun,787,7577661
27037,Dakota,744,7576577
42133,York,1456,7320257
33015,Rockingham,288,7222863
8001,Adams,514,7199867
6099,Stanislaus,3532,7199179
39151,Stark,980,7097749
1097,Mobile,579,7095450
34001,Atlantic,311,7046494
17197,Will,845,7009427
9011,New London,483,6996976
12117,Seminole,255,6783646
41005,Clackamas,2842,6717902
37051,Cumberland,390,6599914
28049,Hinds,664,6491970
48355,Nueces,417,6362795
34029,Ocean,202,6323550
12115,Sarasota,257,6306128
55009,Brown,973,6290788
31109,Lancaster,1207,6223660
6095,Solano,674,6122914
36087,Rockland,17,6121785
6061,Placer,1026,6090886
1101,Montgomery,530,6057810
17201,Winnebago,594,6035879
36027,Dutchess,369,6001422
29077,Greene,1925,5988756
42041,Cumberland,850,5984814
12073,Leon,229,5961867
51510,Alexandria,0,5908441
49049,Utah,1442,5892463
13063,Clayton,48,5877407
8069,Larimer,1002,5867547
42079,Luzerne,327,5834542
18141,St. Joseph,668,5833511
53011,Clark,1173,5792447
48215,Hidalgo,1217,5790208
41039,Lane,1718,5782463
39017,Butler,786,5755212
12033,Escambia,423,5725500
48027,Bell,1455,5623535
36071,Orange,488,5584502
48245,Jefferson,407,5549380
6087,Santa Cruz,556,5547483
19113,Linn,1294,5523626
42129,Westmoreland,979,5518299
26077,Kalamazoo,630,5492975
13051,Chatham,31,5408599
48121,Denton,1366,5379059
51153,Prince William,233,5351537
54039,Kanawha,151,5305083
6107,Tulare,3952,5301181
12127,Volusia,805,5300446
41047,Marion,2059,5299834
42049,Erie,1031,5269237
22055,Lafayette,615,5260312
12021,Collier,144,5244510
45083,Spartanburg,907,5236084
22017,Caddo,403,5181309
26139,Ottawa,1111,5177176
27003,Anoka,454,5152710
48157,Fort Bend,1024,5151189
51041,Chesterfield,119,5101982
17167,Sangamon,873,5033888
12081,Manatee,486,4984502
18039,Elkhart,1260,4914189
48491,Williamson,1624,4813945
18163,Vanderburgh,244,4736692
13245,Richmond,100,4719863
18057,Hamilton,508,4706479
17143,Peoria,820,4679466
50007,Chittenden,345,4672624
39093,Lorain,720,4633838
46099,Minnehaha,1116,4552963
26145,Saginaw,1130,4532890
48303,Lubbock,801,4531105
6079,San Luis Obispo,1540,4524215
51700,Newport News,0,4501505
36085,Richmond,1,4490101
12001,Alachua,946,4427387
25001,Barnstable,110,4377404
20177,Shawnee,747,4317488
6113,Yolo,655,4299703
36065,Oneida,923,4272411
27109,Olmsted,1089,4264687
53035,Kitsap,331,4263432
55087,Outagamie,1205,4254950
39085,Lake,213,4214486
34015,Gloucester,620,4198381
17113,McLean,1390,4180433
37021,Buncombe,990,4179527
36007,Broome,454,4137858
13215,Muscogee,40,4137203
29183,St. Charles,605,4128538
29047,Clay,576,4123805
17163,St. Clair,804,4116570
55139,Winnebago,718,4102958
39099,Mahoning,502,4095631
42069,Lackawanna,211,4074476
42095,Northampton,321,4054634
48339,Montgomery,827,4030000
28047,Harrison,244,4025675
17119,Madison,1110,4015670
53067,Thurston,738,3989747
39155,Trumbull,748,3977099
17111,McHenry,786,3973658
17019,Champaign,1249,3967224
49011,Davis,474,3964482
27137,St. Louis,622,3961008
47149,Rutherford,1309,3905185
9007,Middlesex,199,3897746
48167,Galveston,379,3876643
48309,McLennan,1669,3861012
24021,Frederick,1148,3848793
48423,Smith,1452,3842756
20209,Wyandotte,146,3841682
13021,Bibb,114,3784455
12091,Okaloosa,287,3773591
37035,Catawba,454,3749615
51003,Albemarle,659,3735971
17161,Rock Island,540,3728416
48039,Brazoria,1286,3727146
37129,New Hanover,52,3698793
48061,Cameron,722,3626661
55101,Racine,486,3548662
19163,Scott,759,3494750
53077,Yakima,2989,3493723
47187,Williamson,1115,3470328
5007,Benton,2025,3453431
45051,Horry,913,3450345
34019,Hunterdon,1120,3439097
9005,Litchfield,506,3425508
38017,Cass,824,3425094
18157,Tippecanoe,642,3417125
22019,Calcasieu,637,3413885
45063,Lexington,660,3412311
8123,Weld,2353,3408918
33013,Merrimack,305,3348350
24025,Harford,598,3344670
42125,Washington,1263,3334278
36093,Schenectady,129,3306010
44003,Kent,54,3298178
1125,Tuscaloosa,382,3297233
49057,Weber,783,3290466
6055,Napa,862,3287925
51650,Hampton,0,3282732
51550,Chesapeake,148,3280650
21015,Boone,682,3264014
36063,Niagara,664,3244583
5143,Washington,2313,3230751
53005,Benton,928,3201055
39057,Greene,670,3200245
47163,Sullivan,1221,3178681
51770,Roanoke,0,3153205
48375,Potter,128,3149572
27163,Washington,562,3142169
12083,Marion,1333,3119956
29019,Boone,1101,3109148
41029,Jackson,1443,3099452
8035,Douglas,450,3086190
5131,Sebastian,630,3085826
36091,Saratoga,384,3034950
19103,Johnson,987,3031338
27145,Stearns,2658,2987529
42019,Butler,920,2983064
37133,Onslow,365,2982004
37071,Gaston,265,2969984
26021,Berrien,1181,2964323
48329,Midland,262,2963205
53073,Whatcom,1176,2928326
23019,Penobscot,476,2907832
6007,Butte,1511,2892227
55105,Rock,1144,2877003
45003,Aiken,593,2872242
26025,Calhoun,954,2868051
42027,Centre,650,2863126
55073,Marathon,2427,2841042
51031,Campbell,550,2812863
25003,Berkshire,271,2807132
30111,Yellowstone,815,2800736
45013,Beaufort,93,2797425
6089,Shasta,751,2793819
13139,Hall,609,2778646
19013,Black Hawk,909,2760202
23031,York,421,2752773
26121,Muskegon,365,2746024
22073,Ouachita,299,2731235
6047,Merced,2201,2698285
48041,Brazos,878,2691452
34011,Cumberland,499,2679026
45041,Florence,669,2671576
55117,Sheboygan,928,2664228
35049,Santa Fe,264,2650801
21117,Kenton,437,2648245
26075,Jackson,892,2645670
12101,Pasco,739,2636845
17179,Tazewell,852,2635493
48183,Gregg,262,2631485
37135,Orange,372,2631182
15009,Maui,710,2623870
45091,York,607,2620287
48485,Wichita,434,2612120
55063,La Crosse,668,2594837
45007,Anderson,979,2583193
39165,Warren,679,2573409
17115,Macon,659,2560534
12005,Bay,52,2554075
48479,Webb,324,2546354
39173,Wood,914,2536195
18067,Howard,452,2525321
13059,Clarke,54,2515695
51161,Roanoke,237,2508409
37001,Alamance,648,2484544
6017,El Dorado,615,2484278
42007,Beaver,464,2482665
37147,Pitt,477,2481757
24043,Washington,722,2480854
37025,Cabarrus,391,2480781
12069,Lake,980,2462405
25015,Hampshire,446,2454310
13313,Whitfield,366,2442560
13153,Houston,186,2433106
39139,Richland,824,2432971
39025,Clermont,721,2407320
36111,Ulster,342,2406879
21047,Christian,992,2403357
18127,Porter,420,2396060
40027,Cleveland,777,2375686
23011,Kennebec,434,2373354
55059,Kenosha,343,2344376
26093,Livingston,610,2344272
10001,Kent,675,2343148
33009,Grafton,309,2341474
36083,Rensselaer,377,2337540
39003,Allen,811,2336840
18105,Monroe,466,2334815
10005,Sussex,1286,2330317
22103,St. Tammany,381,2322853
39023,Clark,628,2313008
15001,Hawaii,2659,2312087
48441,Taylor,805,2306190
42013,Blair,349,2301499
1117,Shelby,381,2290385
39133,Portage,647,2279258
41017,Deschutes,954,2272976
47113,Madison,429,2254899
13095,Dougherty,145,2223194
28059,Jackson,224,2219674
39103,Medina,814,2215284
36101,Steuben,1100,2213394
12085,Martin,191,2209779
47179,Washington,1653,2209384
4027,Yuma,344,2198935
37097,Iredell,1009,2178094
51740,Portsmouth,0,2174688
39089,Licking,1101,2171434
51165,Rockingham,1534,2170354
42081,Lycoming,711,2170139
42021,Cambria,459,2168690
35013,Dona Ana,1062,2158547
26147,St. Clair,905,2158389
26115,Monroe,1009,2157103
22079,Rapides,756,2155644
29051,Cole,920,2153259
1103,Morgan,1059,2146156
44005,Newport,90,2144798
18035,Delaware,606,2142356
21093,Hardin,1561,2123694
8101,Pueblo,512,2111090
31153,Sarpy,307,2108173
33017,Strafford,171,2107059
36109,Tompkins,365,2099622
24037,St. Mary's,619,2099392
39041,Delaware,572,2087395
29097,Jasper,1206,2070800
48135,Ector,167,2063438
36045,Jefferson,797,2053619
40031,Comanche,841,2049342
44009,Washington,170,2048844
37049,Craven,265,2035889
55039,Fond du Lac,1280,2031946
42089,Monroe,124,2028639
2090,Fairbanks North Star,143,2027918
36013,Chautauqua,1516,2024684
54011,Cabell,300,2023277
24013,Carroll,961,2022256
30063,Missoula,395,2021652
8077,Mesa,1184,2018361
55035,Eau Claire,830,2013267
19193,Woodbury,1087,2012514
28121,Rankin,493,2009201
6023,Humboldt,746,2004349
12111,St. Lucie,302,2003929
18095,Madison,666,2001614
28081,Lee,483,2001248
39169,Wayne,1337,1997251
6025,Imperial,402,1995829
55131,Washington,715,1995381
37179,Union,947,1989963
53057,Skagit,622,1976494
26055,Grand Traverse,332,1972057
26111,Midland,400,1967648
51069,Frederick,450,1958278
18005,Bartholomew,535,1950712
42055,Franklin,1111,1949914
18167,Vigo,457,1948458
4005,Coconino,204,1948045
36069,Ontario,595,1943008
37159,Rowan,668,1932363
19061,Dubuque,1352,1931583
9013,Tolland,271,1928459
51015,Augusta,1324,1916006
34037,Sussex,705,1914178
22109,Terrebonne,113,1904319
35045,San Juan,577,1903496
46103,Pennington,540,1902112
55141,Wood,922,1900520
51177,Spotsylvania,228,1882214
21227,Warren,1709,1878983
37151,Randolph,1169,1878578
42107,Schuylkill,498,1876828
47001,Anderson,404,1868098
55089,Ozaukee,384,1853648
12097,Osceola,396,1852297
42085,Mercer,953,1845598
18091,LaPorte,690,1842522
18019,Clark,574,1832726
42075,Lebanon,797,1825642
16027,Canyon,1623,1821263
37057,Davidson,793,1819685
48451,Tom Green,717,1815554
23001,Androscoggin,253,1811673
54061,Monongalia,382,1808232
4025,Yavapai,340,1800383
34041,Warren,581,1800057
17099,LaSalle,1426,1796587
39063,Hancock,871,1794832
1069,Houston,667,1794433
47009,Blount,929,1791608
37191,Wayne,769,1786933
1015,Calhoun,522,1786512
48181,Grayson,1632,1784652
1003,Baldwin,792,1783548
41003,Benton,579,1768782
56021,Laramie,431,1764492
20045,Douglas,730,1763310
47119,Maury,1345,1751373
39043,Erie,320,1748890
47011,Bradley,644,1738248
6031,Kings,792,1738113
26005,Allegan,1251,1735749
12061,Indian River,274,1730105
19169,Story,783,1729541
54107,Wood,446,1728832
39109,Miami,880,1727230
53015,Cowlitz,343,1719715
9015,Windham,372,1719464
51121,Montgomery,455,1713065
47165,Sumner,1485,1712084
13117,Forsyth,458,1706344
4021,Pinal,332,1705789
37127,Nash,463,1705262
29021,Buchanan,633,1704910
41043,Linn,1727,1704489
26017,Bay,676,1702993
17091,Kankakee,761,1686608
12109,St. Johns,119,1684843
13185,Lowndes,313,1679755
27139,Scott,746,1679647
16055,Kootenai,492,1658029
45085,Sumter,332,1653973
38015,Burleigh,721,1651520
13115,Floyd,386,1647478
16019,Bonneville,645,1646883
29099,Jefferson,586,1641773
29165,Platte,574,1629238
24045,Wicomico,587,1626954
34009,Cape May,146,1626360
4003,Cochise,652,1622033
56025,Natrona,200,1615327
51085,Hanover,480,1614267
21059,Daviess,1075,1602134
36015,Chemung,257,1601237
24017,Charles,433,1590870
22015,Bossier,341,1586188
36089,St. Lawrence,1247,1569045
18081,Johnson,491,1562114
13057,Cherokee,432,1558723
12087,Monroe,6,1554386
48469,Victoria,895,1550404
47125,Montgomery,795,1546496
27019,Carver,773,1544857
37101,Johnston,1230,1543155
21145,McCracken,379,1539381
4015,Mohave,147,1533261
51143,Pittsylvania,1192,1527931
1081,Lee,301,1519201
13113,Fayette,188,1518542
55127,Walworth,674,1515505
37195,Wilson,368,1509162
51095,James City,51,1509056
45015,Berkeley,278,1507319
6057,Nevada,386,1504382
22005,Ascension,282,1497279
42051,Fayette,701,1492806
39159,Union,657,1491499
6039,Madera,1221,1489876
29031,Cape Girardeau,1038,1483952
48037,Bowie,894,1474759
55071,Manitowoc,1188,1474444
12015,Charlotte,139,1473113
55027,Dodge,1669,1473099
41019,Douglas,1647,1467344
18085,Kosciusko,936,1463652
5031,Craighead,626,1461100
39119,Muskingum,936,1460690
36075,Oswego,607,1457843
55055,Jefferson,1116,1457045
37089,Henderson,434,1443728
17037,DeKalb,742,1437735
39055,Geauga,533,1430743
53007,Chelan,964,1428968
30013,Cascade,614,1427316
28035,Forrest,218,1426402
38035,Grand Forks,621,1424776
48005,Angelina,632,1418612
26045,Eaton,973,1415352
28033,DeSoto,432,1415324
13247,Rockdale,106,1414971
32510,Carson City city,21,1414308
22057,Lafourche,300,1407935
37023,Burke,312,1401007
33005,Cheshire,193,1400619
28075,Lauderdale,386,1399634
30031,Gallatin,649,1398146
36019,Clinton,399,1397627
50023,Washington,286,1396441
18063,Hendricks,673,1396425
8037,Eagle,94,1381276
48139,Ellis,1388,1379735
13151,Henry,318,1376672
5069,Jefferson,219,1371587
21073,Franklin,603,1370475
6045,Mendocino,908,1359773
26091,Lenawee,1069,1355693
54033,Harrison,499,1354970
13127,Glynn,32,1354094
1055,Etowah,717,1352451
47189,Wilson,1483,1347829
39045,Fairfield,852,1341513
19155,Pottawattamie,1145,1337688
42063,Indiana,664,1337215
47063,Hamblen,670,1336627
13179,Liberty,45,1335243
45077,Pickens,469,1331743
49005,Cache,926,1330854
48209,Hays,632,1330816
21209,Scott,752,1328277
37045,Cleveland,639,1325422
13015,Bartow,343,1321732
5045,Faulkner,967,1319552
48251,Johnson,1629,1316739
55097,Portage,825,1312096
13285,Troup,224,1303325
12019,Clay,182,1302760
27013,Blue Earth,959,1300363
18177,Wayne,667,1298862
36113,Warren,51,1293607
42001,Adams,803,1292353
37155,Robeson,998,1290390
30029,Flathead,736,1289199
37125,Moore,626,1286327
45047,Greenwood,361,1284458
39149,Shelby,819,1282865
13045,Carroll,734,1282108
29071,Franklin,1395,1280465
54081,Raleigh,220,1278530
35043,Sandoval,270,1273820
39157,Tuscarawas,824,1261629
55111,Sauk,1175,1255356
39007,Ashtabula,919,1248757
17183,Vermilion,970,1246377
42039,Crawford,1008,1245035
39029,Columbiana,878,1244943
42073,Lawrence,559,1229756
5051,Garland,339,1229610
37171,Surry,1128,1229025
1095,Marshall,1241,1226666
18053,Grant,534,1225850
45075,Orangeburg,797,1223423
51191,Washington,1724,1220972
36009,Cattaraugus,832,1220754
17001,Adams,1268,1217534
20169,Saline,597,1216293
27171,Wright,1417,1213187
28089,Madison,389,1212299
51149,Prince George,138,1205715
37027,Caldwell,292,1205393
51053,Dinwiddie,306,1205328
30049,Lewis and Clark,376,1203518
13097,Douglas,93,1200963
47141,Putnam,985,1200018
42097,Northumberland,494,1196090
37157,Rockingham,783,1194034
20103,Leavenworth,951,1192807
22045,Iberia,304,1188421
38101,Ward,961,1185106
49053,Washington,304,1184656
37193,Wilkes,1028,1177688
48091,Comal,561,1177519
16005,Bannock,507,1167772
51179,Stafford,148,1167687
34033,Salem,642,1166350
54003,Berkeley,408,1164967
21019,Boyd,190,1159965
33001,Belknap,127,1158410
42033,Clearfield,305,1156298
41071,Yamhill,1488,1154707
22101,St. Mary,63,1150596
41059,Umatilla,1142,1150376
36079,Putnam,30,1149945
39141,Ross,637,1148166
35028,Los Alamos,4,1131907
25011,Franklin,426,1129376
39101,Marion,481,1128269
12053,Hernando,355,1122527
22105,Tangipahoa,896,1121249
36117,Wayne,773,1120983
31079,Hall,633,1120891
24015,Cecil,386,1118631
50021,Rutland,425,1115772
40101,Muskogee,1167,1109372
53025,Grant,1267,1109210
53029,Island,252,1108596
6101,Sutter,1006,1107894
16083,Twin Falls,1200,1104623
24001,Allegany,195,1103875
1043,Cullman,1953,1102894
40119,Payne,1023,1100618
47155,Sevier,796,1100482
1083,Limestone,784,1099972
45073,Oconee,595,1093969
18037,Dubois,730,1093918
18043,Floyd,305,1093181
22089,St. Charles,55,1092075
1077,Lauderdale,1048,1088781
13077,Coweta,309,1088459
28087,Lowndes,306,1087458
1045,Dale,373,1086391
21037,Campbell,470,1085066
51089,Henry,253,1079927
23003,Aroostook,727,1073350
37105,Lee,276,1073218
12017,Citrus,258,1071044
17077,Jackson,593,1070820
48361,Orange,253,1065565
28067,Jones,767,1055975
20155,Reno,1203,1054921
36011,Cayuga,741,1054619
39077,Huron,708,1053470
12113,Santa Rosa,394,1051000
26103,Marquette,77,1050812
1121,Talladega,427,1044584
56005,Campbell,403,1038412
39143,Sandusky,740,1024539
